z_final	mh_final	bin_left	bin_right	bin_center	pdf
6.000000	1.000000e+09	-20.08694432	-19.91180718	-19.99937575	0.000000000000e+00
6.000000	1.000000e+09	-19.91180718	-19.73667004	-19.82423861	0.000000000000e+00
6.000000	1.000000e+09	-19.73667004	-19.56153290	-19.64910147	0.000000000000e+00
6.000000	1.000000e+09	-19.56153290	-19.38639575	-19.47396433	0.000000000000e+00
6.000000	1.000000e+09	-19.38639575	-19.21125861	-19.29882718	0.000000000000e+00
6.000000	1.000000e+09	-19.21125861	-19.03612147	-19.12369004	0.000000000000e+00
6.000000	1.000000e+09	-19.03612147	-18.86098433	-18.94855290	0.000000000000e+00
6.000000	1.000000e+09	-18.86098433	-18.68584719	-18.77341576	0.000000000000e+00
6.000000	1.000000e+09	-18.68584719	-18.51071004	-18.59827861	0.000000000000e+00
6.000000	1.000000e+09	-18.51071004	-18.33557290	-18.42314147	0.000000000000e+00
6.000000	1.000000e+09	-18.33557290	-18.16043576	-18.24800433	0.000000000000e+00
6.000000	1.000000e+09	-18.16043576	-17.98529862	-18.07286719	0.000000000000e+00
6.000000	1.000000e+09	-17.98529862	-17.81016147	-17.89773004	0.000000000000e+00
6.000000	1.000000e+09	-17.81016147	-17.63502433	-17.72259290	0.000000000000e+00
6.000000	1.000000e+09	-17.63502433	-17.45988719	-17.54745576	0.000000000000e+00
6.000000	1.000000e+09	-17.45988719	-17.28475005	-17.37231862	0.000000000000e+00
6.000000	1.000000e+09	-17.28475005	-17.10961290	-17.19718147	0.000000000000e+00
6.000000	1.000000e+09	-17.10961290	-16.93447576	-17.02204433	0.000000000000e+00
6.000000	1.000000e+09	-16.93447576	-16.75933862	-16.84690719	0.000000000000e+00
6.000000	1.000000e+09	-16.75933862	-16.58420148	-16.67177005	0.000000000000e+00
6.000000	1.000000e+09	-16.58420148	-16.40906433	-16.49663291	0.000000000000e+00
6.000000	1.000000e+09	-16.40906433	-16.23392719	-16.32149576	0.000000000000e+00
6.000000	1.000000e+09	-16.23392719	-16.05879005	-16.14635862	0.000000000000e+00
6.000000	1.000000e+09	-16.05879005	-15.88365291	-15.97122148	0.000000000000e+00
6.000000	1.000000e+09	-15.88365291	-15.70851576	-15.79608434	0.000000000000e+00
6.000000	1.000000e+09	-15.70851576	-15.53337862	-15.62094719	0.000000000000e+00
6.000000	1.000000e+09	-15.53337862	-15.35824148	-15.44581005	0.000000000000e+00
6.000000	1.000000e+09	-15.35824148	-15.18310434	-15.27067291	0.000000000000e+00
6.000000	1.000000e+09	-15.18310434	-15.00796720	-15.09553577	0.000000000000e+00
6.000000	1.000000e+09	-15.00796720	-14.83283005	-14.92039862	0.000000000000e+00
6.000000	1.000000e+09	-14.83283005	-14.65769291	-14.74526148	0.000000000000e+00
6.000000	1.000000e+09	-14.65769291	-14.48255577	-14.57012434	0.000000000000e+00
6.000000	1.000000e+09	-14.48255577	-14.30741863	-14.39498720	0.000000000000e+00
6.000000	1.000000e+09	-14.30741863	-14.13228148	-14.21985005	0.000000000000e+00
6.000000	1.000000e+09	-14.13228148	-13.95714434	-14.04471291	1.143749901681e-05
6.000000	1.000000e+09	-13.95714434	-13.78200720	-13.86957577	4.003124655883e-05
6.000000	1.000000e+09	-13.78200720	-13.60687006	-13.69443863	1.029374911513e-04
6.000000	1.000000e+09	-13.60687006	-13.43173291	-13.51930149	4.289062131303e-04
6.000000	1.000000e+09	-13.43173291	-13.25659577	-13.34416434	1.080843657088e-03
6.000000	1.000000e+09	-13.25659577	-13.08145863	-13.16902720	3.745780928005e-03
6.000000	1.000000e+09	-13.08145863	-12.90632149	-12.99389006	1.112296779385e-02
6.000000	1.000000e+09	-12.90632149	-12.73118434	-12.81875292	2.946299746730e-02
6.000000	1.000000e+09	-12.73118434	-12.55604720	-12.64361577	7.263955625575e-02
6.000000	1.000000e+09	-12.55604720	-12.38091006	-12.46847863	1.504602995661e-01
6.000000	1.000000e+09	-12.38091006	-12.20577292	-12.29334149	2.611924462973e-01
6.000000	1.000000e+09	-12.20577292	-12.03063578	-12.11820435	3.883488416167e-01
6.000000	1.000000e+09	-12.03063578	-11.85549863	-11.94306720	5.052858315645e-01
6.000000	1.000000e+09	-11.85549863	-11.68036149	-11.76793006	5.833639186028e-01
6.000000	1.000000e+09	-11.68036149	-11.50522435	-11.59279292	6.043059793025e-01
6.000000	1.000000e+09	-11.50522435	-11.33008721	-11.41765578	5.807904813240e-01
6.000000	1.000000e+09	-11.33008721	-11.15495006	-11.24251863	5.496118590042e-01
6.000000	1.000000e+09	-11.15495006	-10.97981292	-11.06738149	4.884669892603e-01
6.000000	1.000000e+09	-10.97981292	-10.80467578	-10.89224435	4.062199338304e-01
6.000000	1.000000e+09	-10.80467578	-10.62953864	-10.71710721	3.079260672800e-01
6.000000	1.000000e+09	-10.62953864	-10.45440149	-10.54197007	2.203434185588e-01
6.000000	1.000000e+09	-10.45440149	-10.27926435	-10.36683292	1.566479865342e-01
6.000000	1.000000e+09	-10.27926435	-10.10412721	-10.19169578	1.113612091771e-01
6.000000	1.000000e+09	-10.10412721	-9.92899007	-10.01655864	7.975939939371e-02
6.000000	1.000000e+09	-9.92899007	-9.75385292	-9.84142150	5.486568278363e-02
6.000000	1.000000e+09	-9.75385292	-9.57871578	-9.66628435	3.957374659815e-02
6.000000	1.000000e+09	-9.57871578	-9.40357864	-9.49114721	2.767302887117e-02
6.000000	1.000000e+09	-9.40357864	-9.22844150	-9.31601007	1.980974829711e-02
6.000000	1.000000e+09	-9.22844150	-9.05330436	-9.14087293	1.417106128182e-02
6.000000	1.000000e+09	-9.05330436	-8.87816721	-8.96573578	9.258655454106e-03
6.000000	1.000000e+09	-8.87816721	-8.70303007	-8.79059864	7.159874384522e-03
6.000000	1.000000e+09	-8.70303007	-8.52789293	-8.61546150	5.392780786425e-03
6.000000	1.000000e+09	-8.52789293	-8.35275579	-8.44032436	4.037437152933e-03
6.000000	1.000000e+09	-8.35275579	-8.17761864	-8.26518721	3.185343476181e-03
6.000000	1.000000e+09	-8.17761864	-8.00248150	-8.09005007	2.390437294513e-03
6.000000	1.000000e+09	-8.00248150	-7.82734436	-7.91491293	1.727062351538e-03
6.000000	1.000000e+09	-7.82734436	-7.65220722	-7.73977579	1.446843625626e-03
6.000000	1.000000e+09	-7.65220722	-7.47707007	-7.56463864	1.109437404630e-03
6.000000	1.000000e+09	-7.47707007	-7.30193293	-7.38950150	9.664686669202e-04
